LOG_NO,by_year_complaint_date,CURRENT_STATUS,FINAL_CATEGORY
24,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
1,01/01/2019 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Other
1,01/01/2023 12:00:00 AM,Case Final,Search Warrants Improper Documentation
2,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Reports
1,01/01/2020 12:00:00 AM,Under BIA Investigation,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
1,01/01/2020 12:00:00 AM,Administratively Closed,Weapon Discharge Taser Non-Serious Bodily Injury
1,01/01/2020 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Impairment .04 - .079
18,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Police Impersonator - (Advocate Section use only)
3,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Escape
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Domestic Incidents Domestic Incident - No Physical Abuse Verbal Abuse Involving a Minor
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Crime Misconduct Other Misdemeanor Arrest
3,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures
7,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Failure to Identify
6,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Sexual Harassment
1,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altering Official Documents Department
2,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Reports Improper
1,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Weapon Lost/Stolen Weapon
47,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Slow/ No Response
26,01/01/2022 12:00:00 AM,Administratively Closed,Verbal Abuse Profanity
6,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Lock Up Incident
23,01/01/2019 12:00:00 AM,Case Final,Verbal Abuse
1,01/01/2019 12:00:00 AM,Case Final,Drugs/Substance Abuse Positive Drug Screen Specimen
10,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Other Felony
6,01/01/2023 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Escape
1,01/01/2019 12:00:00 AM,Case Final,Drugs/Substance Abuse Positive Drug Screen Other Physical Exam
4,01/01/2023 12:00:00 AM,Under BIA Investigation,Bribery/Official Corruption False Testimony
16,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Records
7,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Absent without Permission
23,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment
3,01/01/2020 12:00:00 AM,Investigator Assignment,Civil Rights Violation Improper Stop/Seizure Vehicle
1,01/01/2022 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Escape
1,01/01/2022 12:00:00 AM,Advocate Review,"Crime Misconduct Assault/Battery, etc."
6,01/01/2021 12:00:00 AM,Case Final,Excessive Force No Weapon No Injury
1,01/01/2023 12:00:00 AM,Administratively Closed,Notifications COPA Response
2,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Escape
4,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Political Activity
2,01/01/2020 12:00:00 AM,Case Final,Alcohol/Drug Abuse Random Drug/Return to Duty 6 mos. follow-up .021 or greater
3,01/01/2023 12:00:00 AM,Case Final,Medical Integrity Altering Medical Documents
53,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Advocate Review,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
1,01/01/2021 12:00:00 AM,Case Final,Domestic Incidents Domestic Incident - No Physical Abuse Harassment Not Electronic
2,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Association with Felon
1,01/01/2020 12:00:00 AM,Administratively Closed,Medical Integrity Medical Role Violation Misrepresentation of Injury
3,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Other
3,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Racial
1,01/01/2021 12:00:00 AM,Case Final,Domestic Incidents Domestic Incident - No Physical Abuse Threats Not Involving a Minor
10,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Insubordination
2,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Property Non Premise No Damage
26,01/01/2023 12:00:00 AM,Administratively Closed,Excessive Force No Weapon Non-Serious Bodily Injury
4,01/01/2021 12:00:00 AM,Administratively Closed,Civil Rights Violation First Amendment Other
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Medical Integrity Medical Role Violation Failure to Provide Proper Documentation
12,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest Planting Item - Premise Controlled Substance
5,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Arrest
2,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Person
6,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Other Felony
3,01/01/2022 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Search Person Custodial Search
2,01/01/2021 12:00:00 AM,Command Channel Review,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
10,01/01/2019 12:00:00 AM,Under BIA Investigation,Search Warrants Damage Property
1,01/01/2021 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Traffic Crash Report
2,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Racial
2,01/01/2022 12:00:00 AM,Command Channel Review,Alcohol/Drug Abuse Intoxicated
3,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Altercation/Disturbance Other
22,01/01/2021 12:00:00 AM,Case Final,
1,01/01/2023 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Lock Up Incident Non-Serious Bodily Injury
1,01/01/2022 12:00:00 AM,Administratively Closed,Weapon Discharge Taser
98,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Not at Home
163,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Neglect of Duty
1,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Workplace Violence
1,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altering Official Documents Federal
1,01/01/2020 12:00:00 AM,Administrative Closure Review,Weapon Discharge Taser No Injury With No Hits
2,01/01/2022 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen Specimen
1,01/01/2020 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Search Property
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
1,01/01/2022 12:00:00 AM,Case Final,Drugs/Substance Abuse Use/Abuse Drugs/Controlled Substance
1,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Association with Felon
1,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Workplace Violence
7,01/01/2021 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
20,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Conduct Unbecoming
6,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit No Injury
6,01/01/2021 12:00:00 AM,Case Final,Search Warrants Damage Property
4,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2023 12:00:00 AM,Administratively Closed,Coercion Threat of Arrest/Charges Coerced Confession
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Disability
1,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations EEO Investigations Hostile Work Environment
1,01/01/2021 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Traffic Crash Report
2,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Traffic
2,01/01/2023 12:00:00 AM,Advocate Review,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
4,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Sexual Harassment
3,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Absent without Permission
3,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Misuse of Department Equipment/Supplies
5,01/01/2022 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Altercation/Disturbance Other
1,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force Weapon No Injury
2,01/01/2022 12:00:00 AM,Case Closure Processing,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2023 12:00:00 AM,Advocate Review,Sexual Misconduct Improper Sexual Conduct Verbal Minor
13,01/01/2023 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
3,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Person SVS Proposal Improper Search - Inappropriate touching
1,01/01/2021 12:00:00 AM,Case Final,Fatal Motor Vehicle Incident Law Enforcement Activity
4,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
1,01/01/2023 12:00:00 AM,Administratively Closed,Sexual Misconduct Sexual Assault
37,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Crime Misconduct Damage/Trespassing to Property
2,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Sexual Harassment
2,01/01/2019 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
1,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Weapon Other
3,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Robbery
12,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures
1,01/01/2019 12:00:00 AM,OLA Review,Operation/Personnel Violations Neglect of Duty
4,01/01/2022 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Harassment Allegations of Bias
12,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Profiling
1,01/01/2019 12:00:00 AM,Case Final,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
52,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
189,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altering Official Documents Court
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Residency
39,01/01/2021 12:00:00 AM,Case Final,Verbal Abuse Profanity
4,01/01/2021 12:00:00 AM,Case Final,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
1,01/01/2023 12:00:00 AM,Under District Investigation,Weapon Discharge Taser Non-Serious Bodily Injury With No Hits
1,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Compensatory Time
2,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct Damage/Trespassing to Property
5,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports
14,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Other
2,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
12,01/01/2020 12:00:00 AM,Case Final,"Crime Misconduct Assault/Battery, etc."
7,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2022 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
1,01/01/2020 12:00:00 AM,Command Channel Review,Verbal Abuse Allegations of Bias
18,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Abuse of Authority
3,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Conspiracy to Commit a Crime
1,01/01/2020 12:00:00 AM,Command Channel Review,Crime Misconduct Theft
1,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Abuse Non-Aggravated
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Reports
21,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Records
1,01/01/2019 12:00:00 AM,Administratively Closed,Weapon Discharge
3,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Conduct Unbecoming
3,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Political Activity
47,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force)
2,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Insubordination
5,01/01/2022 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse Intoxicated
1,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Workplace Violence
88,01/01/2022 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Conduct Unbecoming
3,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Residency
22,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Person
15,01/01/2023 12:00:00 AM,Case Final,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
3,01/01/2022 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Stop/Seizure
1,01/01/2020 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Vehicle Excessive Damage
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Lunch/Personal Violations
1,01/01/2022 12:00:00 AM,Advocate Review,Excessive Force No Weapon No Injury
8,01/01/2023 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
1,01/01/2023 12:00:00 AM,Under District Investigation,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Secondary / Special Employment
4,01/01/2021 12:00:00 AM,Case Final,Alcohol/Drug Abuse Impairment .04 - .079
1,01/01/2021 12:00:00 AM,Case Final,Excessive Force Unnecessary Exhibition of Weapon Pointing
2,01/01/2021 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Escape
1,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Judicial Process Perjury
2,01/01/2022 12:00:00 AM,Administratively Closed,Verbal Abuse Allegations of Bias
3,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Premise
1,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
4,01/01/2020 12:00:00 AM,Advocate Review,Supervisory Responsibilities Properly Direct Subordinate
1,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - No Physical Abuse Threats Not Involving a Minor
1,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Sex Offense Other Criminal
30,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Failure to Identify
1,01/01/2022 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I Accidental No Injury
1,01/01/2021 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - No Physical Abuse Verbal Abuse Not Involving a Minor
8,01/01/2021 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury With No Hits
1,01/01/2023 12:00:00 AM,Administratively Closed,Medical Integrity Medical Role Violation Failure to Provide Proper Documentation
1,01/01/2021 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
1,01/01/2022 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Bonding
27,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Vehicle
3,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Court Attendance Irregularities
1,01/01/2023 12:00:00 AM,Suspended,Operation/Personnel Violations Weapon Lost/Stolen Weapon
37,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property
3,01/01/2021 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Stop/Seizure Vehicle
1,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Premise
1,01/01/2021 12:00:00 AM,Command Channel Review,Medical Integrity Medical Role Violation Timely Notification to Unit
5,01/01/2021 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Lock Up Incident No Injury
1,01/01/2023 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
1,01/01/2021 12:00:00 AM,Advocate Review,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
3,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Assault Aggravated
2,01/01/2021 12:00:00 AM,Case Final,Crime Misconduct Police Impersonator - (Advocate Section use only)
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Racial
5,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Profiling
5,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Reports Improper
6,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
2,01/01/2023 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen Specimen
1,01/01/2020 12:00:00 AM,Case Final,Bribery/Official Corruption Use of Official Position
2,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Other
2,01/01/2021 12:00:00 AM,Case Final,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
3,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Robbery
1,01/01/2023 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Altercation/Disturbance Other
3,01/01/2021 12:00:00 AM,Administratively Closed,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Absent without Permission
3,01/01/2021 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Harassment Allegations of Bias
2,01/01/2023 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
4,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations
2,01/01/2020 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Vehicle
16,01/01/2023 12:00:00 AM,Administratively Closed,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
7,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance
1,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Assault Aggravated
1,01/01/2022 12:00:00 AM,Under District Investigation,"Crime Misconduct Assault/Battery, etc."
2,01/01/2019 12:00:00 AM,Administratively Closed,Verbal Abuse
1,01/01/2020 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
1,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force No Weapon Non-Serious Bodily Injury
9,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Insubordination
560,01/01/2023 12:00:00 AM,Under BIA Investigation,
16,01/01/2020 12:00:00 AM,Case Final,Civil Rights Violation Profiling
6,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Workplace Violence
4,01/01/2022 12:00:00 AM,Under District Investigation,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
19,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Theft
30,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Improper
10,01/01/2022 12:00:00 AM,Under BIA Investigation,Search Warrants Improper Service of Warrant
9,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
1,01/01/2019 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
1,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Weapon Irregularity Other
2,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Racial
1,01/01/2021 12:00:00 AM,Case Final,Medical Integrity False Reporting of IOD
4,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
29,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment Allegations of Bias
3,01/01/2021 12:00:00 AM,Advocate Review,Crime Misconduct Other Misdemeanor Arrest
17,01/01/2023 12:00:00 AM,Under BIA Investigation,Excessive Force No Weapon Non-Serious Bodily Injury
2,01/01/2023 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Harassment
22,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Misuse of Department Equipment/Supplies
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Search Property Non Premise No Damage
6,01/01/2021 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2023 12:00:00 AM,Administratively Closed,"Crime Misconduct Drugs/Controlled Substance, Possession or Sale"
2,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Political Activity
1,01/01/2022 12:00:00 AM,Case Final,Crime Misconduct Conspiracy to Commit a Crime
5,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports Fail to Submit
2,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Association with Felon
2,01/01/2019 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I
2,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations
2,01/01/2021 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
5,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
3,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
1,01/01/2023 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Intoxicated
1,01/01/2019 12:00:00 AM,Case Final,Coercion Threat of Non-Criminal Government Enforcement
9,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Records
2,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Lock Up Incident No Injury
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Association with Felon
3,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Gender
1,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Property Non Premise Missing Money
3,01/01/2023 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest
19,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Failure to Identify
7,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Traffic Violations (Other than D.U.I)
1,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest Miranda Rights Not Communicated
8,01/01/2022 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property
4,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force Unnecessary Physical Contact No Injury
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Secondary / Special Employment
2,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Judicial Process Contempt
2,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Indebtedness to City
27,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment
2,01/01/2019 12:00:00 AM,Police Board,Crime Misconduct Theft
4,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Fail to Enforce Traffic Regulations
205,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Neglect of Duty
1,01/01/2023 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Property
1,01/01/2020 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Improper Service of Warrant
7,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Reports
10,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force)
1,01/01/2023 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Search Person SVS Proposal Improper Search - Inappropriate touching
48,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Theft
2,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Equipment Irregularity
1,01/01/2019 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Search Person / Property
2,01/01/2020 12:00:00 AM,Case Final,Supervisory Responsibilities Initiate Proper Action
5,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Reports
21,01/01/2019 12:00:00 AM,Case Final,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
1,01/01/2022 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Money
9,01/01/2022 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Abuse of Authority
1,01/01/2023 12:00:00 AM,Administratively Closed,Excessive Force Weapon Non-Serious Bodily Injury
3,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altering Official Documents
2,01/01/2022 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Intoxicated
1,01/01/2022 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
2,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Absent without Permission
46,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2021 12:00:00 AM,Case Final,Weapon Discharge Taser Non-Serious Bodily Injury With Hits
1,01/01/2021 12:00:00 AM,Case Final,Excessive Force No Weapon Non-Serious Bodily Injury
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Initiate Proper Action
48,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
4,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Sex Offense Other Criminal
4,01/01/2021 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse Non-Serious Bodily Injury Not Involving a Minor
31,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment Allegations of Bias
3,01/01/2022 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
