fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,14440.0,2020,Department of Procurement Services
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,54000.0,2020,Department of Procurement Services
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,245,REIMBURSEMENT TO TRAVELERS,1600.0,2020,Department of Procurement Services
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,270,LOCAL TRANSPORTATION,300.0,2020,Department of Procurement Services
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,350,STATIONERY AND OFFICE SUPPLIES,600.0,2020,Department of Procurement Services
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,5,SALARIES AND WAGES - ON PAYROLL,2869765.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,15,SCHEDULE SALARY ADJUSTMENTS,16021.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,140,PROFESSIONAL AND TECHNICAL SERVICES,22000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,143,COURT REPORTING,2000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,148,TESTING AND INSPECTING,1000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,152,ADVERTISING,1200.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,159,LEASE/PURCHASE EQUIPMENT,88238.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,166,DUES  SUBSC & MEM,425.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,189,TELEPHONE - NON-CENTREX BILLINGS,95600.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,190,TELEPHONE - CENTREX BILLINGS,168500.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,196,DATA CIRCUITS,75800.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,197,TELEPHONE - MAINTENANCE,9325.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,340,MATERIAL AND SUPPLIES,4500.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,350,STATIONERY AND OFFICE SUPPLIES,32000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2103,BUREAU OF FINANCE AND ADMIN,446,PURCHASE - DATA HARDWARE,2000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,34012599.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,12,CONTRACT WAGE - PREVAILING RATE,390750.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,22516.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,510000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,125,OFFICE AND BUILDING SERVICES,24703510.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,130,POSTAGE,15000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,7275365.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,149,SOFTWARE MAINTENANCE AND LICENSING,20000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,735145.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,1903000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,161,MAINT FACILITIES,825000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,3412000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,191,TELEPHONE - RELOCATIONS,9000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,767566.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,319,CLOTHING,85000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,3575000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,1440.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,3915450.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,36557.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,20,OVERTIME,10000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,2127560.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,141,APPRAISALS,30000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,149,SOFTWARE MAINTENANCE AND LICENSING,115270.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,13029965.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,159,LEASE/PURCHASE EQUIPMENT,375000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,160,REPAIR/MAINT PROPERTY,590000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,55000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,166,DUES  SUBSC & MEM,1570.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,169,TECHNICAL MEETING COSTS,71049.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,179,MESSENGER SERVICES,2000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,181,MOBILE COMMUNICATION SERVICES,180502.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,185,WASTE DISPOSAL SERVICES,1500.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,3053312.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,318,OTHER FUEL,110000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,319,CLOTHING,45000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,13013762.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,3577029.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,250407.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,11519820.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,340,MATERIAL AND SUPPLIES,258915.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,350,STATIONERY AND OFFICE SUPPLIES,470000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,9067,PHYSICAL EXAMS,29640.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,9160,PBC,609234.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,37133003.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,380308.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJUSTMENTS,45489.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,20,OVERTIME,945817.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,4338567.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,45200.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,345492.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,290375.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,159,LEASE/PURCHASE EQUIPMENT,3099619.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,161,MAINT FACILITIES,69322.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,1485148.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,166,DUES  SUBSC & MEM,5000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,9766037.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,185,WASTE DISPOSAL SERVICES,3275.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,188,VEHICLE TRACKING SERVICE,106878.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,245,REIMBURSEMENT TO TRAVELERS,10000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,319,CLOTHING,11715.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,98880.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,340,MATERIAL AND SUPPLIES,49320.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,4201.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,345,APPARATUS AND INSTRUMENTS,45140.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,21006579.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,5,SALARIES AND WAGES - ON PAYROLL,9469950.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,15,SCHEDULE SALARY ADJUSTMENTS,43619.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,39,STUDENT AS TRAINEES,78000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,130,POSTAGE,100.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,138,IT MAINTENANCE,2834711.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,140,PROFESSIONAL AND TECHNICAL SERVICES,988354.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,149,SOFTWARE MAINTENANCE AND LICENSING,9527609.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,162,REPAIR/MAINT EQUIPMENT,1518803.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,166,DUES  SUBSC & MEM,109849.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,169,TECHNICAL MEETING COSTS,80700.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,181,MOBILE COMMUNICATION SERVICES,30000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,190,TELEPHONE - CENTREX BILLINGS,25190.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,196,DATA CIRCUITS,699037.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,197,TELEPHONE - MAINTENANCE,9505.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,245,REIMBURSEMENT TO TRAVELERS,5000.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,270,LOCAL TRANSPORTATION,900.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,340,MATERIAL AND SUPPLIES,7850.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,348,BOOKS AND RELATED MATERIAL,2700.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,350,STATIONERY AND OFFICE SUPPLIES,6750.0,2020,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,9438,REIMBURSEMENT - DAIS,100000.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,125,OFFICE AND BUILDING SERVICES,445780.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,88627.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,6462.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,171104.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,340191.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,1192193.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,230156.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,9484761.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,12329159.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,4421641.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,45022.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,15,SCHEDULE SALARY ADJUSTMENTS,2093.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,20,OVERTIME,120000.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,395810.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,24253.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,107000.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,207334.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,1796157.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,138,IT MAINTENANCE,973000.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,139,IT DEVELOPMENT,820000.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,140,PROFESSIONAL AND TECHNICAL SERVICES,4716554.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,149,SOFTWARE MAINTENANCE AND LICENSING,125257.0,2020,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,38,DAIS,2145,INFORMATION TECHNOLOGY,197,TELEPHONE - MAINTENANCE,21593.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,125,OFFICE AND BUILDING SERVICES,896778.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,875330.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,39579.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,300000.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,4591418.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,2876002.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,5804601.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,1039952.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,939899.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,343043.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,1853810.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2140,FLEET OPERATIONS,159,LEASE/PURCHASE EQUIPMENT,53040.0,2020,Department of Fleet and Facility Management
LOCAL,0300,VEHICLE FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,56000.0,2020,Department of Fleet and Facility Management
LOCAL,0310,MOTOR FUEL TAX FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,332,ELECTRICITY - STREET LIGHTING,14659391.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,123194.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,414788.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,587200.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,221131.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,20650.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,2676115.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,29890.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,20,OVERTIME,60000.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,199670.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,12126.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,107000.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,106808.0,2020,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,38,DAIS,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,899600.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,340000.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,125,OFFICE AND BUILDING SERVICES,4168805.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,4789915.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,631000.0,2020,Department of Fleet and Facility Management
LOCAL,0346,LIBRARY FUND,38,DAIS,2126,BUREAU OF FACILITY MANAGEMENT,161,MAINT FACILITIES,100000.0,2020,Department of Fleet and Facility Management
